actor_id,first_name,last_name,date_of_birth,email
67,Christian,Gaines,1952-07-20,christian.gaines@hotmail.com
68,Laura,Duncan,1965-04-06,laura.duncan@yahoo.com
69,Christina,Ryan,1998-08-23,christina.ryan@outlook.com
70,John,Lindsey,1970-02-04,john.lindsey@gmail.com
71,Ashley,Lewis,1974-05-13,ashley.lewis@gmail.com
72,Joshua,Barker,1957-04-07,joshua.barker@yahoo.com
73,Joshua,Powers,1985-10-09,joshua.powers@hotmail.com
74,Raymond,White,1964-01-07,raymond.white@outlook.com
75,Joseph,Russell,1945-11-26,joseph.russell@hotmail.com
76,Kimberly,Sandoval,1963-04-30,kimberly.sandoval@outlook.com
77,Joseph,George,1987-10-31,joseph.george@outlook.com
78,Louis,Walker,1945-11-10,louis.walker@outlook.com
79,Jenna,Walker,1986-03-27,jenna.walker@yahoo.com
80,Keith,Joseph,2000-11-26,keith.joseph@outlook.com
81,Steven,Fisher,1985-02-18,steven.fisher@outlook.com
82,Mark,Price,1982-07-30,mark.price@outlook.com
83,Alexander,Peterson,1968-03-13,alexander.peterson@gmail.com
84,Lynn,Hernandez,2002-10-08,lynn.hernandez@outlook.com
85,Julia,Clark,1992-02-10,julia.clark@gmail.com
86,George,Price,1972-01-19,george.price@yahoo.com
87,Antonio,Phelps,1949-12-23,antonio.phelps@gmail.com
88,Crystal,Hoffman,1968-02-16,crystal.hoffman@yahoo.com
89,Christopher,Adkins,1980-09-01,christopher.adkins@outlook.com
90,Mike,Carter,1966-02-01,mike.carter@outlook.com
91,Shannon,Mcdonald,1955-03-28,shannon.mcdonald@outlook.com
92,Colleen,Jackson,1968-07-22,colleen.jackson@gmail.com
93,Annette,Perry,1996-09-06,annette.perry@outlook.com
94,Andrew,Mcpherson,1982-06-30,andrew.mcpherson@outlook.com
95,Julie,Fritz,1970-03-02,julie.fritz@outlook.com
96,Samantha,Anderson,1985-12-11,samantha.anderson@gmail.com
97,Stacy,Martinez,1971-07-24,stacy.martinez@gmail.com
98,Jeffery,Gay,1983-06-20,jeffery.gay@gmail.com
99,Keith,Hancock,1996-10-24,keith.hancock@gmail.com
100,Kimberly,Navarro,1971-12-04,kimberly.navarro@outlook.com
101,Andrea,Bell,1959-06-13,andrea.bell@outlook.com
102,Robert,Greene,1966-05-13,robert.greene@outlook.com
103,Kaylee,Mccoy,1989-10-30,kaylee.mccoy@gmail.com
104,Nicole,Horne,1996-06-19,nicole.horne@gmail.com
105,Daisy,Shaw,1980-11-12,daisy.shaw@gmail.com
106,Philip,Trevino,1978-04-21,philip.trevino@yahoo.com
107,Katherine,Mitchell,2007-07-18,katherine.mitchell@yahoo.com
108,Shannon,Bradshaw,1956-09-18,shannon.bradshaw@yahoo.com
109,Ricardo,Smith,2001-02-06,ricardo.smith@yahoo.com
110,Matthew,Marshall,1956-05-08,matthew.marshall@gmail.com
111,Frances,Garcia,1984-02-09,frances.garcia@gmail.com
112,Denise,Mccann,1972-07-19,denise.mccann@gmail.com
113,Jacob,Johnson,1959-11-20,jacob.johnson@yahoo.com
114,Dillon,Harvey,1950-02-08,dillon.harvey@yahoo.com
115,Carol,Dennis,1946-03-08,carol.dennis@gmail.com
116,Mark,Wright,1983-05-16,mark.wright@gmail.com
117,Colleen,Cohen,1969-10-29,colleen.cohen@gmail.com
118,Andrew,Guzman,1998-05-19,andrew.guzman@hotmail.com
119,Destiny,Arnold,2003-05-21,destiny.arnold@outlook.com
120,James,Gentry,1975-10-12,james.gentry@hotmail.com
121,Miguel,Baxter,1956-07-20,miguel.baxter@yahoo.com
122,Thomas,Marquez,1958-03-23,thomas.marquez@gmail.com
123,Marcus,Carter,2005-06-30,marcus.carter@hotmail.com
124,Anthony,Lane,1975-11-17,anthony.lane@gmail.com
125,John,Morrison,1961-02-02,john.morrison@outlook.com
126,Laura,Kaufman,1978-09-01,laura.kaufman@hotmail.com
127,Danielle,Lara,2001-08-24,danielle.lara@hotmail.com
128,Mark,Mora,1955-06-20,mark.mora@outlook.com
129,John,Bowen,1949-05-19,john.bowen@gmail.com
130,Adam,Johnson,1990-09-09,adam.johnson@gmail.com
131,Richard,Meyer,1976-08-17,richard.meyer@yahoo.com
132,Michelle,Jones,1973-01-04,michelle.jones@hotmail.com
133,Susan,Ware,1981-03-12,susan.ware@yahoo.com
134,David,Frank,1988-08-30,david.frank@outlook.com
135,Veronica,Espinoza,1974-06-21,veronica.espinoza@outlook.com
136,Timothy,Barber,1964-07-25,timothy.barber@hotmail.com
137,Lisa,Clayton,1993-12-22,lisa.clayton@hotmail.com
138,Kayla,Cox,1993-05-24,kayla.cox@yahoo.com
139,Sara,Soto,1974-07-29,sara.soto@hotmail.com
140,Roy,Martinez,1954-07-25,roy.martinez@gmail.com
141,Melanie,Chang,1984-02-01,melanie.chang@gmail.com
142,Karen,Rodriguez,1956-02-16,karen.rodriguez@gmail.com
143,Michael,Douglas,1954-04-16,michael.douglas@outlook.com
144,Robin,Pope,1958-12-04,robin.pope@gmail.com
145,Joseph,Rivera,1991-11-02,joseph.rivera@yahoo.com
146,Charles,Nolan,1978-01-30,charles.nolan@yahoo.com
147,Karen,Sherman,1967-12-07,karen.sherman@outlook.com
148,Kenneth,Wallace,1998-03-18,kenneth.wallace@gmail.com
149,Shannon,Scott,1963-05-13,shannon.scott@hotmail.com
150,Brooke,Juarez,1954-09-14,brooke.juarez@hotmail.com
